fid,CMUN,CODIGO,ETIQUETA,DESCR,PART_JUD,POB,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
53,"064","0647",Gascones,Gascones,1,174,54018,70944,54018,65791,72281,65791,71973,69416,71973,13440,15542,13440,69105,78607,69105,57717,62701,57717,5327,8999,5327,4693,6934,4693,4930,6744,4930,1713,2836,1713,5525,8423,5525,4519,6780,4519
54,"128","1283",Rozas de Puerto Real,Rozas De Puerto Real,3,547,51374,51461,51374,71121,70423,71121,,,,30163,44436,30163,50771,50240,50771,59542,61119,59542,4970,6747,4970,5901,8218,5901,,,,2321,3705,2321,4820,6408,4820,5103,7104,5103
55,"175","1757",Villamantilla,Villamantilla,3,1584,18490,19575,18490,36422,37561,36422,,,,29438,46773,29438,18298,19175,18298,30273,33681,30273,1849,2510,1849,3242,4793,3242,,,,2855,4991,2855,1923,2619,1923,2799,4184,2799
56,"022","0225",Boadilla del Monte,Boadilla Del Monte,6,65478,20555,27405,20555,48664,60267,48664,20192,20535,20192,12273,14451,12273,13094,13518,13094,22166,25321,22166,2568,4085,2568,4400,6864,4400,2585,3673,2585,1982,3337,1982,2084,3045,2084,2684,4050,2684
57,"023","0231",El Boalo,El Boalo,19,8486,22456,26406,22456,57197,63635,57197,45187,46740,45187,20754,31417,20754,25674,30639,25674,36076,40929,36076,1970,2814,1970,4230,5988,4230,3013,3805,3013,2853,4959,2853,2208,3304,2208,2881,4113,2881
58,"171","1718",Villa del Prado,Villa Del Prado,3,7380,31145,30651,31145,49420,49794,49420,,,,17016,13168,17016,30606,29557,30606,39492,38936,39492,2644,3369,2644,3650,4588,3650,,,,1341,1442,1341,2398,2841,2398,2998,3715,2998
59,"058","0587",Fuenlabrada,Fuenlabrada,18,190493,3371,3384,3371,11544,10906,11544,,,,6902,7514,6902,2172,1823,2172,8375,8049,8375,818,1161,818,1894,2861,1894,,,,1525,2643,1525,747,1131,747,1524,2340,1524
60,"011","0112",Ambite,Ambite,14,693,33245,34185,33245,58765,63212,58765,58188,64134,58188,56240,75797,56240,33854,34534,33854,48059,54372,48059,3681,5550,3681,5973,8939,5973,5769,8812,5769,6248,10412,6248,3718,5427,3718,5078,7828,5078
61,"122","1224",Ribatejada,Ribatejada,2,897,29292,30616,29292,42333,52165,42333,50714,53409,50714,28016,31056,28016,42059,47664,42059,40521,44720,40521,2924,3958,2924,4823,7555,4823,4829,6975,4829,3089,4665,3089,4867,7568,4867,4227,6283,4227
62,"134","1343",San Sebastián de los Reyes,San Sebasti??n De Los Reyes,5,94636,3986,3799,3986,2772,2694,2772,16154,13289,16154,5634,5391,5634,3733,3452,3733,8072,6986,8072,882,1214,882,824,1241,824,2075,2732,2075,1417,2175,1417,932,1262,932,1367,1893,1367
63,"165","1659",Valdilecha,Valdilecha,14,3163,18676,23555,18676,43875,45895,43875,47570,48924,47570,25692,26673,25692,18139,21612,18139,30790,33332,30790,2641,4346,2641,4475,6755,4475,4325,6459,4325,2959,4704,2959,2201,3285,2201,3320,5110,3320
