CDTNUCLEO;DESCR;POBL
1470101;TITULCIA;1351
1480101;TORREJÓN DE ARDOZ;139715
1480201;BASE AÉREA;0
1480202;I.N.T.A.;0
1480401;CASTILLO (EL);779
1480501;SAN BENITO;N.E.
1480601;FRESNOS (LOS);N.E.
1490101;TORREJÓN DE LA CALZADA;10248
1490301;VACIASILOS;40
1500101;TORREJÓN DE VELASCO;4784
1510102;TORRELAGUNA;4929
1510201;TOMILLARES (LOS);15
1520201;BERZOSILLA (LA);537
1520401;ESTACIÓN (LA);5773
1520501;VARELA;N.E.
1520601;GASCO (EL);355
1520701;JARALES (LOS);N.E.
1520801;MARÍAS (LAS);N.E.
1521101;PEÑASCALES (LOS);4686
1521201;ROBLES (LOS);1525
1521301;ROZUELAS (LAS);N.E.
1521401;TORRELODONES;8565
1521501;BOMBEROS (LOS);1261
1521601;PRADOS (LOS);2503
1530201;TORREMOCHA DE JARAMA;673
1530401;CERRADA (LA);22
1530501;RETIRO DE TORREMOCHA (EL);341
1530601;TOMILLARES (LOS);75
1540101;MARIBLANCA;86
1540201;TORRES DE LA ALAMEDA;7564
1550101;VALDARACETE;613
1560101;VALDEAVERO;1377
1560201;CARDOSA (LA);432
1570101;VALDELAGUNA;1065
1580101;VALDEMANCO;676
1580201;CERRO MATALLERA;329
1580301;HOYA (LA);55
1590101;VALDEMAQUEDA;813
1590201;RÍO (EL);15
1600201;CERRO ALARCÓN;2974
1600301;NAVARREDONDA;2518
1600501;DEHESA;1212
1600601;PARAÍSO (EL);475
1600801;PINO ALTO;521
1600901;PIZARRERA (LA);229
1601201;CAMPING DE VALDEMORILLO;6
1601202;VALDEMORILLO;5950
1601203;CHARQUILLAS (LAS);47
1601501;MONTEMORILLO;73
1610101;VALDEMORO;83423
1610501;ROMPECUBAS;N.E.
1610601;VALMOR;N.E.
1620101;ALALPARDO;2465
1620201;VALDEOLMOS;1155
1620301;MIRAVAL;851
1630101;VALDEPIÉLAGOS;527
1630102;FRONTAL (EL);54
1640101;SILILLOS;821
1640201;VALDETORRES DE JARAMA;3871
1640301;CUEVA (LA);79
1640401;ESCARABAJOSA (LA);68
1640501;MIRADOR (EL);171
1650101;VALDILECHA;3163
1660101;VALVERDE DE ALCALÁ;550
1670101;VELILLA DE SAN ANTONIO;14008
1680101;ESPARTAL (EL);158
1680201;VELLÓN (EL);1776
1680701;CALVERO (EL);2
1690101;VENTURADA;771
1690201;COTOS DE MONTERREY;1779
1690301;ROSALES (LOS);23
1700101;VILLACONEJOS;3471
1710101;ALAMÍN;0
1710301;ENCINAR DEL ALBERCHE;1151
1710802;VILLA DEL PRADO;6184
1710803;BLANCA (LA);0
1711001;HOSPITAL (EL);0
1711101;HOYAS (LAS);45
1720201;GURUGÚ (EL);276
1720301;HUEROS (LOS);2238
1720501;ZULEMA-PEÑAS ALBAS;2716
1720601;VILLALBILLA;2406
1720801;VALDELÁGUILA-EL ROBLEDAL;1626
1720901;VISO (EL);6890
1721001;MIRADOR (EL);1754
1730201;CASTILLO DE TAJO;7
1730301;VILLAMANRIQUE DE TAJO;805
1740101;VILLAMANTA;2593
1740201;JIRFA;37
1740301;MALPUESTA (LA);69
1740401;OLIVOS (LOS);55
1750101;VILLAMANTILLA;1584
1760401;VILLANUEVA DE LA CAÑADA;18138
1760603;RAYA DEL PALANCAR-GUADAMONTE (LA);1316
1760701;CASTILLO (EL);0
