Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;"090 Moralzarzal";"701";"701";"900701";BERROCAL (EL)-RETAMAR (EL);NUC;"737";737
28 Madrid;"091 Morata de Tajuña";"101";"101";"910101";MORATA DE TAJUÑA;NUC;"7650";7650
28 Madrid;"092 Móstoles";"101";"101";"920101";MÓSTOLES;NUC;"200051";200051
28 Madrid;"092 Móstoles";"201";"201";"920201";PARQUE COIMBRA;NUC;"10812";10812
28 Madrid;"092 Móstoles";"301";"301";"920301";PINARES LLANOS;NUC;"208";208
28 Madrid;"092 Móstoles";"401";"401";"920401";PARQUE GUADARRAMA;NUC;"1495";1495
28 Madrid;"092 Móstoles";"701";"701";"920701";NIEVES-EL LUCERO (LAS);NUC;"622";622
28 Madrid;"093 Navacerrada";"101";"101";"930101";NAVACERRADA;NUC;"3304";3304
28 Madrid;"093 Navacerrada";"301";"301";"930301";BARRANCA (LA);NUC;"0";0
28 Madrid;"094 Navalafuente";"101";"101";"940101";NAVALAFUENTE;NUC;"1576";1576
28 Madrid;"094 Navalafuente";"201";"201";"940201";ARRETURAS (LAS);NUC;"10";10
28 Madrid;"094 Navalafuente";"501";"501";"940501";PISCIS;NUC;"0";0
28 Madrid;"094 Navalafuente";"601";"601";"940601";SOCOCAR;NUC;"16";16
28 Madrid;"094 Navalafuente";"701";"701";"940701";VIÑAS I (LAS);NUC;"42";42
28 Madrid;"094 Navalafuente";"702";"702";"940702";VIÑAS II (LAS);NUC;"10";10
28 Madrid;"095 Navalagamella";"102";"102";"950102";NAVALAGAMELLA;NUC;"2784";2784
28 Madrid;"095 Navalagamella";"103";"103";"950103";PLANTÍO (EL);NUC;"0";0
28 Madrid;"095 Navalagamella";"201";"201";"950201";BARRANCOS (LOS);NUC;"6";6
28 Madrid;"095 Navalagamella";"301";"301";"950301";CERRO ALARCÓN;NUC;"172";172
28 Madrid;"096 Navalcarnero";"101";"101";"960101";CALYPO II;NUC;"272";272
28 Madrid;"096 Navalcarnero";"301";"301";"960301";NAVALCARNERO;NUC;"31902";31902
28 Madrid;"096 Navalcarnero";"401";"401";"960401";AGUAS DE RIAZA;NUC;"0";0
28 Madrid;"096 Navalcarnero";"1001";"1001";"961001";FUENTE PILA;NUC;"0";0
28 Madrid;"096 Navalcarnero";"1101";"1101";"961101";MANCIGORDO;NUC;"0";0
28 Madrid;"097 Navarredonda y San Mamés";"101";"101";"970101";NAVARREDONDA;NUC;"59";59
28 Madrid;"097 Navarredonda y San Mamés";"201";"201";"970201";SAN MAMÉS;NUC;"75";75
28 Madrid;"097 Navarredonda y San Mamés";"301";"301";"970301";PATUELO (EL);NUC;"0";0
28 Madrid;"097 Navarredonda y San Mamés";"401";"401";"970401";PRADO GAMONAL;NUC;"0";0
28 Madrid;"097 Navarredonda y San Mamés";"501";"501";"970501";SOLANILLA (LA);NUC;"0";0
28 Madrid;"099 Navas del Rey";"101";"101";"990101";MORRO (EL);NUC;"322";322
28 Madrid;"099 Navas del Rey";"201";"201";"990201";NAVAS DEL REY;NUC;"2819";2819
28 Madrid;"099 Navas del Rey";"301";"301";"990301";SAN JUAN;NUC;"84";84
28 Madrid;"099 Navas del Rey";"401";"401";"990401";ROCHA (LA);NUC;"55";55
28 Madrid;"099 Navas del Rey";"501";"501";"990501";SANTA ANA;NUC;"48";48
28 Madrid;100 Nuevo Baztán;"201";"201";"1000201";MIRADOR DE BAZTÁN (EL);NUC;"187";187
28 Madrid;100 Nuevo Baztán;"301";"301";"1000301";MONTE ACEVEDO;NUC;"436";436
28 Madrid;100 Nuevo Baztán;"401";"401";"1000401";NUEVO BAZTÁN;NUC;"306";306
28 Madrid;100 Nuevo Baztán;"601";"601";"1000601";EUROVILLAS-LAS VILLAS;NUC;"6464";6464
28 Madrid;101 Olmeda de las Fuentes;"101";"101";"1010101";OLMEDA DE LAS FUENTES;NUC;"404";404
28 Madrid;102 Orusco de Tajuña;"101";"101";"1020101";ORUSCO;NUC;"1426";1426
28 Madrid;104 Paracuellos de Jarama;"101";"101";"1040101";BELVIS DE JARAMA;NUC;"333";333
28 Madrid;104 Paracuellos de Jarama;"201";"201";"1040201";PARACUELLOS DE JARAMA;NUC;"23492";23492
28 Madrid;104 Paracuellos de Jarama;"301";"301";"1040301";AVALÓN (EL);NUC;"18";18
28 Madrid;104 Paracuellos de Jarama;"401";"401";"1040401";BERROCALES DEL JARAMA (LOS);NUC;"866";866
28 Madrid;104 Paracuellos de Jarama;"501";"501";"1040501";GRANJA / EL CRUCE (LA);NUC;"2248";2248
28 Madrid;104 Paracuellos de Jarama;"601";"601";"1040601";I.N.T.A.;NUC;"148";148
28 Madrid;106 Parla;"102";"102";"1060102";PARLA;NUC;"134851";134851
28 Madrid;107 Patones;"201";"201";"1070201";POBLADO DEL ATAZAR;NUC;"0";0
28 Madrid;107 Patones;"301";"301";"1070301";PATONES DE ABAJO;NUC;"558";558
28 Madrid;107 Patones;"401";"401";"1070401";PATONES DE ARRIBA;NUC;"46";46
28 Madrid;108 Pedrezuela;"101";"101";"1080101";ATALAYA REAL;NUC;"195";195
28 Madrid;108 Pedrezuela;"201";"201";"1080201";MONTENEBRO;NUC;"887";887
28 Madrid;108 Pedrezuela;"301";"301";"1080301";PEDREZUELA;NUC;"5277";5277
28 Madrid;109 Pelayos de la Presa;"101";"101";"1090101";PELAYOS DE LA PRESA;NUC;"3106";3106
28 Madrid;110 Perales de Tajuña;"101";"101";"1100101";PERALES DE TAJUÑA;NUC;"2806";2806
28 Madrid;110 Perales de Tajuña;"301";"301";"1100301";PRADO DE ARRIBA;NUC;"53";53
28 Madrid;110 Perales de Tajuña;"401";"401";"1100401";URBANIZACIÓN VALDEPERALES;NUC;"208";208
28 Madrid;111 Pezuela de las Torres;"101";"101";"1110101";PEZUELA DE LAS TORRES;NUC;"743";743
28 Madrid;111 Pezuela de las Torres;"201";"201";"1110201";CAMINOS (LOS);NUC;"215";215
28 Madrid;112 Pinilla del Valle;"101";"101";"1120101";PINILLA DEL VALLE;NUC;"199";199
28 Madrid;113 Pinto;"102";"102";"1130102";PINTO;NUC;"55918";55918
