Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;161 Valdemoro;"101";"101";"1610101";VALDEMORO;NUC;"83423";83423
28 Madrid;162 Valdeolmos-Alalpardo;"101";"101";"1620101";ALALPARDO;NUC;"2465";2465
28 Madrid;162 Valdeolmos-Alalpardo;"201";"201";"1620201";VALDEOLMOS;NUC;"1155";1155
28 Madrid;162 Valdeolmos-Alalpardo;"301";"301";"1620301";MIRAVAL;NUC;"851";851
28 Madrid;163 Valdepiélagos;"101";"101";"1630101";VALDEPIÉLAGOS;NUC;"527";527
28 Madrid;163 Valdepiélagos;"102";"102";"1630102";FRONTAL (EL);NUC;"54";54
28 Madrid;164 Valdetorres de Jarama;"101";"101";"1640101";SILILLOS;NUC;"821";821
28 Madrid;164 Valdetorres de Jarama;"201";"201";"1640201";VALDETORRES DE JARAMA;NUC;"3871";3871
28 Madrid;164 Valdetorres de Jarama;"301";"301";"1640301";CUEVA (LA);NUC;"79";79
28 Madrid;164 Valdetorres de Jarama;"401";"401";"1640401";ESCARABAJOSA (LA);NUC;"68";68
28 Madrid;164 Valdetorres de Jarama;"501";"501";"1640501";MIRADOR (EL);NUC;"171";171
28 Madrid;165 Valdilecha;"101";"101";"1650101";VALDILECHA;NUC;"3163";3163
28 Madrid;166 Valverde de Alcalá;"101";"101";"1660101";VALVERDE DE ALCALÁ;NUC;"550";550
28 Madrid;167 Velilla de San Antonio;"101";"101";"1670101";VELILLA DE SAN ANTONIO;NUC;"14008";14008
28 Madrid;"168 Vellón, El";"101";"101";"1680101";ESPARTAL (EL);NUC;"158";158
28 Madrid;"168 Vellón, El";"201";"201";"1680201";VELLÓN (EL);NUC;"1776";1776
28 Madrid;"168 Vellón, El";"701";"701";"1680701";CALVERO (EL);NUC;"2";2
28 Madrid;169 Venturada;"101";"101";"1690101";VENTURADA;NUC;"771";771
28 Madrid;169 Venturada;"201";"201";"1690201";COTOS DE MONTERREY;NUC;"1779";1779
28 Madrid;169 Venturada;"301";"301";"1690301";ROSALES (LOS);NUC;"23";23
28 Madrid;170 Villaconejos;"101";"101";"1700101";VILLACONEJOS;NUC;"3471";3471
28 Madrid;171 Villa del Prado;"101";"101";"1710101";ALAMÍN;NUC;"0";0
28 Madrid;171 Villa del Prado;"301";"301";"1710301";ENCINAR DEL ALBERCHE;NUC;"1151";1151
28 Madrid;171 Villa del Prado;"802";"802";"1710802";VILLA DEL PRADO;NUC;"6184";6184
28 Madrid;171 Villa del Prado;"803";"803";"1710803";BLANCA (LA);NUC;"0";0
28 Madrid;171 Villa del Prado;"1001";"1001";"1711001";HOSPITAL (EL);NUC;"0";0
28 Madrid;171 Villa del Prado;"1101";"1101";"1711101";HOYAS (LAS);NUC;"45";45
28 Madrid;172 Villalbilla;"201";"201";"1720201";GURUGÚ (EL);NUC;"276";276
28 Madrid;172 Villalbilla;"301";"301";"1720301";HUEROS (LOS);NUC;"2238";2238
28 Madrid;172 Villalbilla;"501";"501";"1720501";ZULEMA-PEÑAS ALBAS;NUC;"2716";2716
28 Madrid;172 Villalbilla;"601";"601";"1720601";VILLALBILLA;NUC;"2406";2406
28 Madrid;172 Villalbilla;"801";"801";"1720801";VALDELÁGUILA-EL ROBLEDAL;NUC;"1626";1626
28 Madrid;172 Villalbilla;"901";"901";"1720901";VISO (EL);NUC;"6890";6890
28 Madrid;172 Villalbilla;"1001";"1001";"1721001";MIRADOR (EL);NUC;"1754";1754
28 Madrid;173 Villamanrique de Tajo;"201";"201";"1730201";CASTILLO DE TAJO;NUC;"7";7
28 Madrid;173 Villamanrique de Tajo;"301";"301";"1730301";VILLAMANRIQUE DE TAJO;NUC;"805";805
28 Madrid;174 Villamanta;"101";"101";"1740101";VILLAMANTA;NUC;"2593";2593
28 Madrid;174 Villamanta;"201";"201";"1740201";JIRFA;NUC;"37";37
28 Madrid;174 Villamanta;"301";"301";"1740301";MALPUESTA (LA);NUC;"69";69
28 Madrid;174 Villamanta;"401";"401";"1740401";OLIVOS (LOS);NUC;"55";55
28 Madrid;175 Villamantilla;"101";"101";"1750101";VILLAMANTILLA;NUC;"1584";1584
28 Madrid;176 Villanueva de la Cañada;"401";"401";"1760401";VILLANUEVA DE LA CAÑADA;NUC;"18138";18138
28 Madrid;176 Villanueva de la Cañada;"603";"603";"1760603";RAYA DEL PALANCAR-GUADAMONTE (LA);NUC;"1316";1316
28 Madrid;176 Villanueva de la Cañada;"701";"701";"1760701";CASTILLO (EL);NUC;"0";0
28 Madrid;176 Villanueva de la Cañada;"704";"704";"1760704";VILLAFRANCA DEL CASTILLO-LA MOCHA CHICA;NUC;"3898";3898
28 Madrid;177 Villanueva del Pardillo;"101";"101";"1770101";VILLANUEVA DEL PARDILLO;NUC;"16379";16379
28 Madrid;177 Villanueva del Pardillo;"401";"401";"1770401";VEGAS - SANTA MARIA (LAS);NUC;"1498";1498
28 Madrid;178 Villanueva de Perales;"101";"101";"1780101";VILLANUEVA DE PERALES;NUC;"1642";1642
28 Madrid;179 Villar del Olmo;"101";"101";"1790101";EUROVILLAS;NUC;"1604";1604
28 Madrid;179 Villar del Olmo;"201";"201";"1790201";VILLAR DEL OLMO;NUC;"667";667
28 Madrid;180 Villarejo de Salvanés;"101";"101";"1800101";VILLAREJO DE SALVANÉS;NUC;"7710";7710
28 Madrid;180 Villarejo de Salvanés;"201";"201";"1800201";HUERTAS DE VILLAREJO (LAS);NUC;"114";114
28 Madrid;181 Villaviciosa de Odón;"101";"101";"1810101";VILLAVICIOSA DE ODÓN;NUC;"21650";21650
28 Madrid;181 Villaviciosa de Odón;"201";"201";"1810201";BOSQUE (EL);NUC;"7142";7142
28 Madrid;181 Villaviciosa de Odón;"301";"301";"1810301";DEHESA DEL SOTILLO;NUC;"189";189
28 Madrid;181 Villaviciosa de Odón;"302";"302";"1810302";MONTE DE LA VILLA;NUC;"2";2
28 Madrid;181 Villaviciosa de Odón;"501";"501";"1810501";SALINAS Y CASA FRANCO (LAS);NUC;"64";64
28 Madrid;181 Villaviciosa de Odón;"701";"701";"1810701";ARCO IRIS;NUC;"2";2
28 Madrid;182 Villavieja del Lozoya;"201";"201";"1820201";LLANOS (LOS);NUC;"32";32
28 Madrid;182 Villavieja del Lozoya;"301";"301";"1820301";CABEZAS (LAS);NUC;"26";26
28 Madrid;182 Villavieja del Lozoya;"401";"401";"1820401";TERCIO DE LA LAGUNA (EL);NUC;"27";27
28 Madrid;182 Villavieja del Lozoya;"501";"501";"1820501";VILLAVIEJA DEL LOZOYA;NUC;"207";207
28 Madrid;182 Villavieja del Lozoya;"601";"601";"1820601";CAÑADA (LA);NUC;"7";7
28 Madrid;182 Villavieja del Lozoya;"701";"701";"1820701";SOLANILLA (LA);NUC;"9";9
28 Madrid;183 Zarzalejo;"101";"101";"1830101";ESTACIÓN Y PAJARES (LA);NUC;"1108";1108
28 Madrid;183 Zarzalejo;"201";"201";"1830201";PEÑA ROSAL;NUC;"27";27
28 Madrid;183 Zarzalejo;"301";"301";"1830301";ZARZALEJO;NUC;"665";665
28 Madrid;183 Zarzalejo;"601";"601";"1830601";MORALES (LOS);NUC;"8";8
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"101";"101";"9010101";NAVAS DE BUITRAGO;NUC;"74";74
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"201";"201";"9010201";SIETEIGLESIAS;NUC;"225";225
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"301";"301";"9010301";FUENTE BLANQUILLA;NUC;"3";3
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"402";"402";"9010402";LOZOYUELA;NUC;"1075";1075
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"501";"501";"9010501";MAZACORTA;NUC;"22";22
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;"901";"901";"9010901";TOMILLERAS (LAS);NUC;"0";0
28 Madrid;902 Puentes Viejas;"101";"101";"9020101";PAREDES DE BUITRAGO;NUC;"67";67
28 Madrid;902 Puentes Viejas;"201";"201";"9020201";SERRADA DE LA FUENTE;NUC;"79";79
28 Madrid;902 Puentes Viejas;"301";"301";"9020301";CINCO VILLAS;NUC;"119";119
28 Madrid;902 Puentes Viejas;"401";"401";"9020401";MANJIRÓN;NUC;"433";433
28 Madrid;902 Puentes Viejas;"501";"501";"9020501";PRESA DE PUENTES VIEJAS;NUC;"0";0
28 Madrid;903 Tres Cantos;"101";"101";"9030101";MORALEJA (LA);NUC;"0";0
28 Madrid;903 Tres Cantos;"102";"102";"9030102";SOTO DE VIÑUELAS;NUC;"2473";2473
28 Madrid;903 Tres Cantos;"103";"103";"9030103";TRES CANTOS;NUC;"50282";50282
