Provincia;Municipio;Código Unidad Poblacional;CODIGO;Unidad Poblacional;field_6;Poblacion_Total
28 Madrid;126 Robregordo;101;1260101;ROBREGORDO;NUC;68
28 Madrid;164 Valdetorres de Jarama;401;1640401;ESCARABAJOSA (LA);NUC;68
28 Madrid;174 Villamanta;301;1740301;MALPUESTA (LA);NUC;69
28 Madrid;068 Guadarrama;703;0680703;SERRANILLA (LA);NUC;73
28 Madrid;160 Valdemorillo;1501;1601501;MONTEMORILLO;NUC;73
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;101;9010101;NAVAS DE BUITRAGO;NUC;74
28 Madrid;097 Navarredonda y San Mamés;201;0970201;SAN MAMÉS;NUC;75
28 Madrid;140 Serranillos del Valle;102;1400102;URBANIZACIÓN LOS LLANOS;NUC;75
28 Madrid;153 Torremocha de Jarama;601;1530601;TOMILLARES (LOS);NUC;75
28 Madrid;138 Serna del Monte, La;101;1380101;SERNA DEL MONTE (LA);NUC;77
28 Madrid;164 Valdetorres de Jarama;301;1640301;CUEVA (LA);NUC;79
28 Madrid;902 Puentes Viejas;201;9020201;SERRADA DE LA FUENTE;NUC;79
28 Madrid;072 Hoyo de Manzanares;101;0720101;BERZALEJO;NUC;81
28 Madrid;023 Boalo, El;1101;0231101;SAN MURIEL;NUC;82
28 Madrid;069 Hiruela, La;101;0690101;HIRUELA (LA);NUC;82
28 Madrid;026 Brunete;201;0260201;DEHESA (LA);NUC;84
28 Madrid;099 Navas del Rey;301;0990301;SAN JUAN;NUC;84
28 Madrid;154 Torres de la Alameda;101;1540101;MARIBLANCA;NUC;86
28 Madrid;013 Aranjuez;202;0130202;ACADEMIA ESPECIAL DE LA GUARDIA CIVIL;NUC;87
28 Madrid;038 Cercedilla;101;0380101;CAMORRITOS;NUC;87
28 Madrid;084 Mejorada del Campo;501;0840501;RAYA DE VELILLA (LA);NUC;88
28 Madrid;114 Piñuécar-Gandullas;201;1140201;PIÑUÉCAR;NUC;89
28 Madrid;045 Colmenar Viejo;401;0450401;FAMET;NUC;91
28 Madrid;118 Puebla de la Sierra;101;1180101;PUEBLA DE LA SIERRA;NUC;91
28 Madrid;025 Brea de Tajo;201;0250201;ALAMEDA Y EL QUEJIGAL (LA);NUC;92
28 Madrid;070 Horcajo de la Sierra-Aoslos;201;0700201;AOSLOS;NUC;94
28 Madrid;143 Somosierra;101;1430101;SOMOSIERRA;NUC;98
28 Madrid;021 Berrueco, El;401;0210401;PRADERA DEL AMOR;NUC;101
28 Madrid;052 Chinchón;301;0520301;COHONARES (LOS);NUC;101
28 Madrid;063 Gargantilla del Lozoya y Pinilla de Buitrago;201;0630201;PINILLA DE BUITRAGO;NUC;101
28 Madrid;068 Guadarrama;301;0680301;TABLADA;NUC;103
28 Madrid;016 Atazar, El;101;0160101;ATAZAR (EL);NUC;104
28 Madrid;070 Horcajo de la Sierra-Aoslos;101;0700101;HORCAJO DE LA SIERRA;NUC;104
28 Madrid;071 Horcajuelo de la Sierra;101;0710101;HORCAJUELO DE LA SIERRA;NUC;107
28 Madrid;014 Arganda del Rey;304;0140304;PUENTE DE ARGANDA;NUC;111
28 Madrid;045 Colmenar Viejo;701;0450701;SAN PEDRO;NUC;111
28 Madrid;120 Rascafría;101;1200101;OTERUELO DEL VALLE;NUC;111
28 Madrid;014 Arganda del Rey;301;0140301;AVÍCOLA DEL JARAMA;NUC;113
28 Madrid;038 Cercedilla;301;0380301;PUERTO DE NAVACERRADA;NUC;113
28 Madrid;180 Villarejo de Salvanés;201;1800201;HUERTAS DE VILLAREJO (LAS);NUC;114
28 Madrid;050 Cubas de la Sagra;301;0500301;PINAR (EL);NUC;118
28 Madrid;061 Galapagar;1501;0611501;RANCHOS (LOS);NUC;119
28 Madrid;902 Puentes Viejas;301;9020301;CINCO VILLAS;NUC;119
28 Madrid;135 Santa María de la Alameda;1001;1351001;SANTA MARÍA DE LA ALAMEDA;NUC;120
28 Madrid;132 San Martín de la Vega;502;1320502;POBLADO DE ARRIBA;NUC;122
28 Madrid;124 Robledillo de la Jara;101;1240101;ROBLEDILLO DE LA JARA;NUC;123
28 Madrid;007 Alcorcón;701;0070701;MONTEPRÍNCIPE;NUC;125
28 Madrid;128 Rozas de Puerto Real;101;1280101;ENTREPINOS;NUC;125
28 Madrid;018 Becerril de la Sierra;601;0180601;VISTA REAL;NUC;126
28 Madrid;134 San Sebastián de los Reyes;401;1340401;RACE;NUC;131
28 Madrid;065 Getafe;401;0650401;BULERA (LA);NUC;134
28 Madrid;117 Prádena del Rincón;101;1170101;PRÁDENA DEL RINCÓN;NUC;137
28 Madrid;039 Cervera de Buitrago;101;0390101;CERVERA DE BUITRAGO;NUC;146
28 Madrid;104 Paracuellos de Jarama;601;1040601;I.N.T.A.;NUC;148
28 Madrid;133 San Martín de Valdeiglesias;101;1330101;SAN RAMÓN;NUC;157
28 Madrid;085 Miraflores de la Sierra;101;0850101;ENDRINALES (LOS);NUC;158
28 Madrid;168 Vellón, El;101;1680101;ESPARTAL (EL);NUC;158
28 Madrid;038 Cercedilla;603;0380603;VALLE DE FUENFRIA;NUC;159
28 Madrid;051 Chapinería;201;0510201;VALQUIGOSO;NUC;159
28 Madrid;135 Santa María de la Alameda;801;1350801;PIMPOLLAR (EL);NUC;159
28 Madrid;055 Estremera;401;0550401;PEÑA RUBIA;NUC;162
28 Madrid;008 Aldea del Fresno;702;0080702;CARRETA QUEBRADA;NUC;165
28 Madrid;164 Valdetorres de Jarama;501;1640501;MIRADOR (EL);NUC;171
28 Madrid;061 Galapagar;101;0610101;BELLAVISTA;NUC;172
28 Madrid;095 Navalagamella;301;0950301;CERRO ALARCÓN;NUC;172
28 Madrid;064 Gascones;201;0640201;GASCONES;NUC;174
28 Madrid;080 Majadahonda;4201;0804201;ENTREÁLAMOS;NUC;179
28 Madrid;007 Alcorcón;401;0070401;VENTORRO DEL CANO;NUC;180
28 Madrid;045 Colmenar Viejo;605;0450605;VALDELAGUA-PUNTA GALEA;NUC;182
28 Madrid;054 Escorial, El;701;0540701;PERALEJO;NUC;185
28 Madrid;068 Guadarrama;801;0680801;NEGRALES (LOS);NUC;187
28 Madrid;100 Nuevo Baztán;201;1000201;MIRADOR DE BAZTÁN (EL);NUC;187
28 Madrid;084 Mejorada del Campo;201;0840201;URBANIZACIÓN LAS ACACIAS;NUC;188
28 Madrid;181 Villaviciosa de Odón;301;1810301;DEHESA DEL SOTILLO;NUC;189
28 Madrid;108 Pedrezuela;101;1080101;ATALAYA REAL;NUC;195
28 Madrid;046 Collado Mediano;601;0460601;REAJO DEL ROBLE;NUC;198
28 Madrid;112 Pinilla del Valle;101;1120101;PINILLA DEL VALLE;NUC;199
28 Madrid;133 San Martín de Valdeiglesias;301;1330301;JAVACRUZ;NUC;200
28 Madrid;182 Villavieja del Lozoya;501;1820501;VILLAVIEJA DEL LOZOYA;NUC;207
28 Madrid;092 Móstoles;301;0920301;PINARES LLANOS;NUC;208
28 Madrid;110 Perales de Tajuña;401;1100401;URBANIZACIÓN VALDEPERALES;NUC;208
28 Madrid;111 Pezuela de las Torres;201;1110201;CAMINOS (LOS);NUC;215
28 Madrid;024 Braojos;101;0240101;BRAOJOS;NUC;218
28 Madrid;122 Ribatejada;201;1220201;PARAJE DEL ARZOBISPO;NUC;219
28 Madrid;020 Berzosa del Lozoya;101;0200101;BERZOSA DEL LOZOYA;NUC;225
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;201;9010201;SIETEIGLESIAS;NUC;225
28 Madrid;063 Gargantilla del Lozoya y Pinilla de Buitrago;101;0630101;GARGANTILLA DEL LOZOYA;NUC;226
