Origen,Hospitales grupo 3,Hospitales grupo 2,Bomberos,Juzgados,Salud mental
1450501,30758.597430580994,20214.715728355244,43677.82277675643,22543.936460531066,28400.978179649715
1450601,33738.56959003264,23058.185380463427,46309.04849195817,25639.527232049928,31598.85155406804
1450401,32530.62337388084,22173.11978479268,45217.66767395335,24315.63648512676,29925.59013814334
1450801,35327.058510347604,25048.12285910238,47682.5541826181,27126.881313281458,32574.07248447455
0300301,41370.51798493684,33031.36280413491,52192.10667693877,9396.812853686686,37889.75086520663
0300101,42663.141372469465,33956.79509665018,53503.17370352862,7946.895593153231,39218.42664055996
0300701,40948.2259998862,32146.47901293204,52037.48303715835,6672.821471432929,37543.4972336431
0300201,44580.68952932385,35722.61816262857,55281.02780191705,8290.715234598092,41138.46495909925
0450101,21400.47283280228,18171.982652112954,33852.95533811614,109.56638802431348,18274.927321727064
0450301,22446.62281240148,14882.590219861819,35996.879685858614,9215.61570622846,19591.394270257413
0450401,24526.174655781495,20233.032563894274,36547.30115860427,3536.4610431899673,21227.496659551998
0450501,19334.814490507757,17386.896324858033,31960.588458287373,2706.7367140467277,16936.753024137677
0450601,18139.19214241766,8157.02303086709,32931.40500637927,15328.27716463342,16370.441126290301
0450605,19986.71372953726,10255.391411254734,34417.120150934235,14674.084856882168,17907.630836521494
0450701,23194.059471614266,20170.899804489913,35056.80307922052,1955.9163228511704,20122.8222019929
1210101,37673.77512124267,28715.545968659353,49235.93289154427,5568.583277293517,34357.46239744379
1240101,53859.44000892285,44369.101603827134,64219.16760758788,14380.70521057841,50465.386410939165
0700101,65392.87916430792,56587.565988896764,74865.5820389779,27388.52211946845,61806.74248530182
0700201,63897.156756469674,55182.184936942715,73363.34216169441,26198.576410564398,60306.00539662159
1040101,14732.511339325361,5085.587876853118,29662.34862104252,13277.03599091012,14503.402253945458
1040201,15011.832478290678,10050.201190761409,28244.827858461107,6144.868112822542,16312.88985221766
1040301,15728.424154713488,12233.506584153318,28019.306247566332,3733.8043755297135,17438.82908270812
1040601,17653.14936141189,13031.812080811971,29727.707137209254,4005.672067084963,19018.89092379261
1040401,15067.446118265536,12349.629269208053,27286.915660492457,3699.555979613742,16997.128844773233
1040501,12432.614158704619,7204.765530008409,26896.876127205836,8736.66690952738,13678.87840414164
1140101,59182.08309935377,50468.586033631225,68809.75282446182,21679.08462010431,55610.60783616553
1140201,61503.87718012927,52791.50372730425,71048.14779369274,23900.857885992165,57921.96512678608
0290101,38153.09308253818,29561.860769443047,49494.96627107528,7465.330004805797,34757.09338419751
0970101,56373.60087390039,49048.551455128916,65415.9792795133,24470.870403312747,52743.529847197584
0970201,56356.49629521835,48798.566583368454,65511.12250843053,23498.710955695045,52726.73009859707
0200101,56593.328422139915,47114.47318215958,66809.64640012679,17115.503399300716,53176.01923545741
0240101,61979.59180979263,53686.13030570287,71270.51549119352,25739.388105543792,58357.99949641236
0270101,56073.28500724901,47718.886831138814,65625.40894179785,20069.408443083,52480.3041863747
1580101,43182.91553170857,35183.13641736367,53629.43031480371,11941.593710608218,39647.526043382044
1580301,42056.55416182561,33896.90946034574,52711.67866395184,10610.036262656911,38547.444635852866
1580201,42508.094320122036,34630.72699763392,52981.29327962876,12240.856964607503,38969.6671508272
0390101,50448.513411080334,40908.35097108977,61051.29861846931,10906.598593659623,47098.199990894944
0710101,65163.00714743014,56033.81578295812,74839.53458540655,26328.03155438142,61625.04858375469
0010101,67285.44056499162,58825.89950330835,76497.32260961538,30246.753448491534,63658.82545499587
1260101,69333.62923795509,60647.987258314744,78619.8129701072,31567.22747599167,65721.08590784224
0860101,29568.534816196727,20009.49635151802,42426.56949103139,21587.38432574734,26682.14217993751
0630101,53323.4170898284,45923.46682870748,62580.710588284586,21654.5213006169,49703.03274869214
0630201,55184.62495649275,47455.2621073274,64480.9875635674,21797.849046772048,51562.07324442076
1640501,25778.185544417574,15183.356459017356,39320.66007932752,24669.04584566332,23727.14348140182
1640101,25749.685299088604,15266.169667596796,39306.33174696864,25511.676794334064,23570.580099094743
1640201,27950.235711723326,17399.459842178618,41211.63604973429,26755.690926858137,25724.895065296285
1640301,28357.371597161764,17674.23125713023,41500.97381005561,24784.496884126802,26468.522512193078
1640401,26678.87524729362,16002.656908137526,40060.58075613112,24094.602977103892,24774.067713388362
0020101,18335.10805020448,12113.8072776048,30929.953464979033,6567.098897613053,19200.695992594527
0850201,36889.912320976844,31062.244816120117,47178.701857216176,16067.576875189632,33388.85718522105
0850301,31162.13468100357,25300.575153419297,42420.778542596585,10811.334184983461,27704.73458660181
0850101,33892.98815667092,27685.38258122678,44830.67562609624,13635.778151802391,30398.80429341606
1440301,30625.63485102154,26826.48249389519,41028.30560678442,9242.22623467789,27383.50856128593
1440101,31250.474935073813,26461.50475889955,42008.79798576447,10030.029270744666,27862.04792411232
1440201,28196.81773122764,22723.705684631368,39865.249860215124,7827.240442995727,24789.217563234037
9010101,50761.40668123224,41923.433312628964,60855.68276786879,13424.548372373576,47257.62952093794
9010402,49854.54140242521,41363.55830656402,59783.48413798204,14100.255820219432,46311.37323010779
9010501,47598.38333655038,38693.515949978835,58010.55752167738,10401.226418890774,44132.6789358252
9010201,48495.37284333569,39549.53465549122,58849.27563835225,10990.320543393165,45028.4605558214
1290101,23406.915242588606,14322.97754881696,37125.26301380939,15577.782358380946,20778.997065266656
1290901,19317.47202808906,10074.132217270808,33823.23960983773,11364.408074521023,17192.524856719043
1430101,72647.25660005343,63873.23366819366,81898.62472412338,34575.913693976174,69034.55522983489
1680201,32878.62418069241,23457.607741989177,45240.38550551955,7156.017464830527,29813.30378902138
1680101,34140.88368943318,24163.60454683823,46532.5697655641,6055.442205888605,31250.942185783155
9030102,13973.26831979971,8709.805695595049,29237.902202589023,9513.855497181454,12640.840552048434
9030103,13844.382054076472,9912.355849449352,28891.70597267198,8487.04316085955,12616.791406256667
0880101,65312.288072382,56065.34271569567,75057.6503722027,26216.84949335355,61795.14584484243
1180101,62265.26821726881,52364.56327342778,72537.71604679339,22441.428931876075,58943.70895930325
0670101,33128.42877225584,25994.324175667425,44586.09355500536,14274.885045671233,29665.82685836897
1200204,49126.92488342861,44458.62943822301,57315.249679761415,30028.22173227839,45732.91069984297
1200101,49798.99320726879,44647.43916379536,58201.36083690546,28545.991207082963,46336.67661487667
1200401,49336.73036575531,44379.034228930126,57671.83999950086,29014.784099403227,45900.608795181026
1070301,44794.32110460872,34690.53988505297,56178.79864182465,5812.079186611281,41734.13149171205
1070401,45627.96001620837,35629.00555827019,56885.36647551741,6108.913932397567,42503.37010806985
0530101,20692.628813434807,12838.436672345515,33415.48123337783,9857.749430069174,20946.090679031015
0940201,37195.579575484466,29837.9580892772,48135.63519405407,13289.650230511394,33683.227844129055
0940601,36354.952584073035,28881.29360493098,47465.10435838209,12750.089586052014,32860.96014107193
0940701,38081.73948528433,30165.054023754583,49140.916500694795,10833.04287327209,34598.79092001033
0940702,38460.32062185942,30500.7410913106,49487.12325940754,10664.465776014113,34976.1500908354
0940101,37390.707816521,29360.440916990734,48592.746107432664,10267.210846171458,33930.11318513345
1380101,61068.643525186446,52595.3750715521,70491.64970264497,24265.157744754742,57464.26836631892
1120101,50362.27598277276,44583.39433363965,59056.07778506024,26358.40085580295,46828.70619254125
1170101,63512.192298092436,54313.66267749187,73283.93574932517,24539.929717503255,59993.88539247871
1630101,36134.89449700338,25590.685048040563,48480.66672389361,27918.682935263227,33601.531358142194
1630102,36903.75134809349,26291.853010407125,49188.08573095985,28708.42646505755,34454.07860528503
0070601,,3267.7270634707784,23128.879083803196,4310.058337334431,7193.926657602116
0070101,,4041.6476078986234,21860.955024959247,1829.8949716911268,7568.42465054165
0070201,,4877.901386212636,22959.147220557697,5036.280268977135,8681.969579629858
0070401,,8209.873023436394,21341.33412933428,5352.2355124603355,11368.479573723038
0070701,,8973.472858687192,21306.297024796808,6057.706147998888,12065.590925297982
0150101,,8769.6910520436,29252.13887939769,8325.839808355931,9752.402899082057
0150301,,10069.726485170282,30209.424059156903,5333.793982513488,10340.262739309925
0150201,,7189.960065661636,27954.958427800782,8197.182298412215,8798.52114391256
1780101,,21802.511382395573,36759.76644119276,10294.42161326722,20556.595118929647
1330401,,47032.72391906219,57822.49063117272,34432.61162892338,45442.601795198745
1330201,,45963.40977897964,56228.25498813188,33900.54189756488,44533.23994591001
1330301,,44008.703262091076,54933.94269448058,31548.46358883649,42462.406803908445
1330101,,43164.47907282297,53886.201130902504,30992.18533856768,41704.03203237487
0730101,,6862.242121502582,26444.30200771853,3804.1972580756433,8722.15135921396
1280201,,54709.843455817856,66284.55295890542,41357.15829967338,52864.18043454143
1280101,,52846.038726119594,64439.7932246297,39532.09744994679,51015.60007752536
1750101,,24155.771523016185,38702.16267980774,12083.767466987405,22738.479602181018
1711101,,41651.55103826852,55897.93936195873,27762.567430557334,39531.743007449506
1710802,,39177.842616439666,52804.75554561354,25476.051037093526,37192.41641092475
1710301,,42718.75101134599,55960.44472706952,29029.605522673857,40736.363892389694
0580102,,7519.269202288129,24291.656263500343,1410.6052085043198,9158.697860635933
0580501,,4273.227415676653,24081.92918274495,3435.5469373682954,7053.271165122253
0580503,,3744.8632111593506,23342.78340340417,4549.948653709888,6778.24533168862
0310501,,51885.02035160543,63484.89303732658,38595.117601883736,50063.82148428683
0310101,,49727.389269440384,61657.23741611376,36344.15481369258,47871.78034452482
0510101,,31649.374946984397,43822.43286908796,20128.039027069437,30383.885269540624
0510201,,30916.83728708487,42615.0754537915,20236.383521410116,29883.039077251695
1090101,,41376.275685450404,52734.36176863332,28867.976979566767,39816.465611781765
0370102,,53098.877051287585,65623.45640186309,39412.4337001825,51110.27432598512
1810501,,8885.170052668027,28790.70495973903,7337.591225309558,9775.0273829552
1810101,,5665.867874065865,24170.573255945106,4372.565324049097,9120.655806694007
1810201,,10056.250716376397,25889.441324004692,8883.380859000174,12324.814869318283
1810301,,9051.942099120373,26459.80942147726,7676.089482121062,11161.097040179935
0990301,,38900.65818916083,50374.019322123975,26633.708203125385,37414.57829346867
0990401,,37741.99986828498,49381.45685797541,25500.896262736147,36264.21261687177
0990501,,35297.66732164474,47559.59107559314,22867.618917356944,33764.50410173206
0990101,,36384.12070577414,48333.68290575769,24070.435375991332,34885.47943465821
0990201,,34873.61092570318,46388.04189546209,23316.910742955788,33594.56409169639
1410601,,15572.452723262373,32039.371488601944,6603.226285684778,15086.858757879174
1410701,,15167.951574846145,31087.5930978144,8192.8904724398,15218.564624812107
1410101,,18209.32208455139,33906.6030498146,8012.110849394493,17355.71982831422
1410403,,14562.912682837376,30927.184009045854,7381.296831881784,14571.227247065373
1410402,,13829.797356784215,30489.49180810801,7076.908060245092,13963.681226754943
0080701,,33885.1684476267,47490.47721196399,20539.127962793576,32050.498481379145
0080702,,33220.67020297526,46808.38391560491,19956.7940195057,31416.183524600267
0080304,,31487.97055743044,45631.181255347416,18030.44873014603,29612.46371476406
0080301,,31036.02517805093,45150.46872733705,17645.418391019673,29186.147770897853
0080102,,29916.04919775558,44044.40324784778,16653.102076125397,28113.217382400457
0080101,,29836.244793176607,43752.71407833956,16763.088042617743,28099.4247089103
0080303,,31900.391191009232,45957.77091318173,18456.407949716115,30029.862273369785
0420201,,30323.38859426703,40914.64309622243,18911.082739804802,29736.861050547508
0420101,,31596.809970233084,42494.17045492699,20756.319337120964,30779.59246370827
0040101,,16021.104709828078,35243.78371294966,6735.789332183838,14786.536521401415
0920401,,8498.8744364634,28481.444222323837,6931.573881887305,9598.321813313622
